"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"One year later, sinkhole didn't sink Corvette Museum in Kentucky http://t.co/JzYOEJbCLP",FALSE,0,NA,2015-02-13 00:07:16,FALSE,NA,"566025779998638080",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","ZenShade",0,FALSE,FALSE,NA,NA
"One year later, sinkhole didn't sink Corvette Museum in Kentucky http://t.co/4QzR6l6yqm",FALSE,0,NA,2015-02-13 00:05:43,FALSE,NA,"566025388774948864",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","garymccarty",0,FALSE,FALSE,NA,NA
"Sinkhole Anniversary / Blue Devil Unveiling http://t.co/CjxYfwz4Zp",FALSE,0,NA,2015-02-13 00:01:42,FALSE,NA,"566024376571949056",NA,"<a href=""http://linkis.com"" rel=""nofollow"">Linkis.com</a>","lvonestopshop",0,FALSE,FALSE,NA,NA
"Las Vegas would have been a sinkhole #mls brand. Though I do hope the ownership group considers #nasl or #usl",FALSE,2,NA,2015-02-13 00:00:15,FALSE,NA,"566024014158893057",NA,"<a href=""https://twitter.com/download/android"" rel=""nofollow"">Twitter for Android Tablets</a>","misanthropester",0,FALSE,FALSE,NA,NA
"RT @corvettemuseum: Tune in to our Live Stream for the unveiling of the Blue Devil here: https://t.co/Pxynl2KeEd #Corvette #Sinkhole http:/…",FALSE,0,NA,2015-02-12 23:59:00,FALSE,NA,"566023698260709377",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","krdonahue",16,TRUE,FALSE,NA,NA
"RT @corvettemuseum: Tune in to our Live Stream for the unveiling of the Blue Devil here: https://t.co/Pxynl2KeEd #Corvette #Sinkhole http:/…",FALSE,0,NA,2015-02-12 23:58:44,FALSE,NA,"566023629381853184",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","tampabayvettes",16,TRUE,FALSE,NA,NA
"RT @MichaelBenny: Sinkhole eats car outside downtown @Syracuse1848 @TimHortons driver was not in car, is fine. Road &amp; car not fine http://t…",FALSE,0,NA,2015-02-12 23:52:51,FALSE,NA,"566022150608650240",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GreenThumbGirls",4,TRUE,FALSE,NA,NA
"RT @CityMetric: Bayou Corne: the Louisiana town that's being swallowed by a sinkhole. Deeply sad story, this. http://t.co/VtXJpTVz4h http:/…",FALSE,0,NA,2015-02-12 23:52:31,FALSE,NA,"566022067846647808",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","GreenThumbGirls",7,TRUE,FALSE,NA,NA
"RT @corvettemuseum: Interesting piece of Skydome and sinkhole history - a piece of the floor that was drilled. http://t.co/vqihLq1S6w",FALSE,0,NA,2015-02-12 23:51:54,FALSE,NA,"566021910392500224",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","wbkotv",1,TRUE,FALSE,NA,NA
"Oh my. Do we really have to hear about the sinkhole at the corvette museum AGAIN? Wasn't a year ago enough coverage. Get a new story!",FALSE,1,NA,2015-02-12 23:48:52,FALSE,NA,"566021147587010560",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","cherrytlc",0,FALSE,FALSE,NA,NA
"Toronto sinkhole stops traffic Thursday; serves as reminder with frigid weekend ahead » http://t.co/O003Ow44Z4 #toronto",FALSE,0,NA,2015-02-12 23:48:35,FALSE,NA,"566021077718269952",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","torontosolds",0,FALSE,FALSE,NA,NA
