"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"I made it to Tampa for #4C15. SO &lt;ALL CAPS&gt; EXCITED",FALSE,1,NA,2015-03-17 19:07:40,FALSE,NA,"577909181015048192",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","knowledgepusher",0,FALSE,FALSE,NA,NA
"THE IRONY in light of recent monitoring in NJ of PARCC  @ncte: Special thanks to @Pearson for sponsoring the mobile app for #4C15  #facepalm",FALSE,0,"ncte",2015-03-17 19:06:32,FALSE,"577801679376158720","577908894376321024","41362922","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","VMSReading",0,FALSE,FALSE,NA,NA
"Since I can't drink, I'll buy drinks for my roommates #4C15",FALSE,0,NA,2015-03-17 19:06:12,FALSE,NA,"577908812088213504",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","techairos",0,FALSE,FALSE,NA,NA
"@CWSHRC seriously! I just hope someone actually live-tweets that session!! #H27 #4C15! Please?!",FALSE,1,"CWSHRC",2015-03-17 19:05:50,FALSE,"577907803869835264","577908717892452352","2396833946","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jzinchuk",0,FALSE,FALSE,NA,NA
"If everything runs on schedule, I'll land in Tampa &amp; book it to the award ceremony in time to watch @JChaseSanchez shake some hands #4C15",FALSE,1,NA,2015-03-17 19:04:29,FALSE,NA,"577908380959797249",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","TylerBranson",1,FALSE,FALSE,NA,NA
"RT @NCTE_CCCC: Need some beach time at #4C15 but no car? New ferry to Clearwater Beach has just opened. #4c15 http://t.co/0nzIcNCQrs @Tampa…",FALSE,0,NA,2015-03-17 19:02:21,FALSE,NA,"577907842260340737",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CWSHRC",1,TRUE,FALSE,NA,NA
"My panel with Kristen Moore, Ian Weaver, and Sara Doan will be Thursday from 1:45-3:00 in Marriott, Meeting Room 9, Level Three #4c15 (1/2)",FALSE,3,NA,2015-03-17 19:01:17,FALSE,NA,"577907574432886785",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","OrcsBlood",0,FALSE,FALSE,NA,NA
"3 hours later...the final exporting. all i'm sayin' is that i would want to come to this panel. #4c15 #i25",FALSE,4,NA,2015-03-17 19:01:10,FALSE,NA,"577907543781085184",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","soulsmiles",0,FALSE,FALSE,NA,NA
"RT @NCTE_CCCC: MT @chenchen328 At #4C15 we're collecting multimodal assignments for FYC for session F33 Fri. morn. Tweet your assignments w…",FALSE,0,NA,2015-03-17 19:00:59,FALSE,NA,"577907497903788033",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CWSHRC",1,TRUE,FALSE,NA,NA
"“@rmhoward: Stuck at home w Flu B. Counting on livetweets from #4C15, esp from @joycelocke's keynote.” Let's not let her down, Coalition!",FALSE,1,"rmhoward",2015-03-17 19:00:47,FALSE,"577905705912512512","577907447081398272","7972492","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CWSHRC",0,FALSE,FALSE,NA,NA
"Clearly, the TPA SuperShuttle stop is where it's at, #4C15! #thefeministsarecoming",FALSE,0,NA,2015-03-17 18:59:19,FALSE,NA,"577907079698112512",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CWSHRC",0,FALSE,FALSE,NA,NA
"On the way to #4C15! https://t.co/lVCTWDp5SB",FALSE,2,NA,2015-03-17 18:56:29,FALSE,NA,"577906368671277057",NA,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>","jlnastal",0,FALSE,FALSE,NA,NA
"Getting CCCCloser #4c15. Welcome newbies: be not afraid! Life and Literacy Guards posted! Yay yay yay  @JoyceLocke http://t.co/iJThCOUkQL",FALSE,3,NA,2015-03-17 18:54:55,FALSE,NA,"577905970740912128",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Hughbedo",0,FALSE,FALSE,"-81.59319425","28.40186209"
